SID,Organization,Name,Password,Admin(T/F),Subjects
1,Admin,VAC,Admin1,TRUE,","
100,JHS,Luke Emia,JHS100,FALSE,Science
101,JHS,Urm Om,JHS101,FALSE,"History,Science"
102,JHS,Dee Znuts,JHS102,FALSE,"Math,Science"
103,JHS,Hermoine Crab,JHS103,FALSE,"History,Science"
104,JHS,Nut Ella,JHS104,FALSE,Science
105,JHS,Joana Davis,JHS105,FALSE,English
106,JHS,Catherine Loker,JHS106,FALSE,"Math,History"
107,JHS,Sophie Davis,JHS107,FALSE,"English,Science"
108,JHS,Susan Johanson,JHS108,FALSE,"English,Math"
109,JHS,David Hemsworth,JHS109,FALSE,"English,History"
110,JHS,Callum Holland,JHS110,FALSE,"History,Science"
111,JHS,Geroge Jenner,JHS111,FALSE,"Science,Math"
112,JHS,Black Kardashain,JHS112,FALSE,English
113,JHS,Daniel Roosevelt,JHS113,FALSE,"Math,Science"
114,JHS,Danielle Bolt,JHS114,FALSE,Math
115,JHS,Kayla Renner,JHS115,FALSE,Science
116,JHS,Josh Ranner,JHS116,FALSE,Math
117,JHS,Caleb Boise,JHS117,FALSE,"English,Math"
118,JHS,Cameron Dunkin,JHS118,FALSE,"History,Science"
119,JHS,Carl Smith,JHS119,FALSE,History
120,JHS,Hope Blake,JHS120,FALSE,History
121,JHS,Holly Das,JHS121,FALSE,Math
122,JHS,Jimmy Swift,JHS122,FALSE,"English,Science"
123,JHS,Cassie Paris,JHS123,FALSE,"Science,English"
124,JHS,Georgie Potter,JHS124,FALSE,Math
125,JHS,Luca Dumbledore,JHS125,FALSE,Math
126,JHS,Lucy Granger,JHS126,FALSE,"Science,English"
127,JHS,John Weasley,JHS127,FALSE,"Math,English"
128,JHS,Kim Malfoy,JHS128,FALSE,History
129,JHS,Cathy Snape,JHS129,FALSE,"English,Math"
130,JHS,Abby Lupin,JHS130,FALSE,"Science,English"
131,JHS,Gabe Black,JHS131,FALSE,"History,Math"
132,JHS,Teddy Patil,JHS132,FALSE,"History,English"
133,JHS,Lorence Fudge,JHS133,FALSE,Science
134,JHS,Milly Crabbe,JHS134,FALSE,History
135,JHS,Molly Goyle,JHS135,FALSE,"Science,History"
136,JHS,Patrick Trelawney,JHS136,FALSE,"Science,Math"
